YKS,"{""en"": ""Yakutsk Airport"", ""ru"": ""Якутск""}","{""en"": ""Yakutsk"", ""ru"": ""Якутск""}","(129.77099609375,62.0932998657227)",Asia/Yakutsk
MJZ,"{""en"": ""Mirny Airport"", ""ru"": ""Мирный""}","{""en"": ""Mirnyj"", ""ru"": ""Мирный""}","(114.039001464844,62.5346984863281)",Asia/Yakutsk
KHV,"{""en"": ""Khabarovsk-Novy Airport"", ""ru"": ""Хабаровск-Новый""}","{""en"": ""Khabarovsk"", ""ru"": ""Хабаровск""}","(135.18800354004,48.52799987793)",Asia/Vladivostok
PKC,"{""en"": ""Yelizovo Airport"", ""ru"": ""Елизово""}","{""en"": ""Petropavlovsk"", ""ru"": ""Петропавловск-Камчатский""}","(158.453994750977,53.1679000854492)",Asia/Kamchatka
UUS,"{""en"": ""Yuzhno-Sakhalinsk Airport"", ""ru"": ""Хомутово""}","{""en"": ""Yuzhno-Sakhalinsk"", ""ru"": ""Южно-Сахалинск""}","(142.718002319336,46.8886985778809)",Asia/Sakhalin
VVO,"{""en"": ""Vladivostok International Airport"", ""ru"": ""Владивосток""}","{""en"": ""Vladivostok"", ""ru"": ""Владивосток""}","(132.147994995117,43.398998260498)",Asia/Vladivostok
LED,"{""en"": ""Pulkovo Airport"", ""ru"": ""Пулково""}","{""en"": ""St. Petersburg"", ""ru"": ""Санкт-Петербург""}","(30.2625007629395,59.8003005981445)",Europe/Moscow
KGD,"{""en"": ""Khrabrovo Airport"", ""ru"": ""Храброво""}","{""en"": ""Kaliningrad"", ""ru"": ""Калининград""}","(20.5925998687744,54.8899993896484)",Europe/Kaliningrad
KEJ,"{""en"": ""Kemerovo Airport"", ""ru"": ""Кемерово""}","{""en"": ""Kemorovo"", ""ru"": ""Кемерово""}","(86.1072006225586,55.2700996398926)",Asia/Novokuznetsk
CEK,"{""en"": ""Chelyabinsk Balandino Airport"", ""ru"": ""Челябинск""}","{""en"": ""Chelyabinsk"", ""ru"": ""Челябинск""}","(61.5033,55.305801)",Asia/Yekaterinburg
MQF,"{""en"": ""Magnitogorsk International Airport"", ""ru"": ""Магнитогорск""}","{""en"": ""Magnetiogorsk"", ""ru"": ""Магнитогорск""}","(58.7556991577148,53.3931007385254)",Asia/Yekaterinburg
PEE,"{""en"": ""Bolshoye Savino Airport"", ""ru"": ""Пермь""}","{""en"": ""Perm"", ""ru"": ""Пермь""}","(56.021198272705,57.914501190186)",Asia/Yekaterinburg
SGC,"{""en"": ""Surgut Airport"", ""ru"": ""Сургут""}","{""en"": ""Surgut"", ""ru"": ""Сургут""}","(73.4018020629883,61.3437004089355)",Asia/Yekaterinburg
BZK,"{""en"": ""Bryansk Airport"", ""ru"": ""Брянск""}","{""en"": ""Bryansk"", ""ru"": ""Брянск""}","(34.176399231,53.2141990662)",Europe/Moscow
MRV,"{""en"": ""Mineralnyye Vody Airport"", ""ru"": ""Минеральные Воды""}","{""en"": ""Mineralnye Vody"", ""ru"": ""Минеральные Воды""}","(43.081901550293,44.2251014709473)",Europe/Moscow
STW,"{""en"": ""Stavropol Shpakovskoye Airport"", ""ru"": ""Ставрополь""}","{""en"": ""Stavropol"", ""ru"": ""Ставрополь""}","(42.1128005981445,45.1091995239258)",Europe/Moscow
ASF,"{""en"": ""Astrakhan Airport"", ""ru"": ""Астрахань""}","{""en"": ""Astrakhan"", ""ru"": ""Астрахань""}","(48.0063018799,46.2832984924)",Europe/Samara
NJC,"{""en"": ""Nizhnevartovsk Airport"", ""ru"": ""Нижневартовск""}","{""en"": ""Nizhnevartovsk"", ""ru"": ""Нижневартовск""}","(76.4835968017578,60.9492988586426)",Asia/Yekaterinburg
SVX,"{""en"": ""Koltsovo Airport"", ""ru"": ""Кольцово""}","{""en"": ""Yekaterinburg"", ""ru"": ""Екатеринбург""}","(60.802700042725,56.743099212646)",Asia/Yekaterinburg
SVO,"{""en"": ""Sheremetyevo International Airport"", ""ru"": ""Шереметьево""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.4146,55.972599)",Europe/Moscow
VOZ,"{""en"": ""Voronezh International Airport"", ""ru"": ""Воронеж""}","{""en"": ""Voronezh"", ""ru"": ""Воронеж""}","(39.2295989990234,51.8142013549805)",Europe/Moscow
VKO,"{""en"": ""Vnukovo International Airport"", ""ru"": ""Внуково""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.2615013123,55.5914993286)",Europe/Moscow
SCW,"{""en"": ""Syktyvkar Airport"", ""ru"": ""Сыктывкар""}","{""en"": ""Syktyvkar"", ""ru"": ""Сыктывкар""}","(50.845100402832,61.6469993591309)",Europe/Moscow
KUF,"{""en"": ""Kurumoch International Airport"", ""ru"": ""Курумоч""}","{""en"": ""Samara"", ""ru"": ""Самара""}","(50.16429901123,53.504901885986)",Europe/Samara
DME,"{""en"": ""Domodedovo International Airport"", ""ru"": ""Домодедово""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.9062995910645,55.4087982177734)",Europe/Moscow
TJM,"{""en"": ""Roshchino International Airport"", ""ru"": ""Рощино""}","{""en"": ""Tyumen"", ""ru"": ""Тюмень""}","(65.3243026733,57.1896018982)",Asia/Yekaterinburg
GOJ,"{""en"": ""Nizhny Novgorod Strigino International Airport"", ""ru"": ""Стригино""}","{""en"": ""Nizhniy Novgorod"", ""ru"": ""Нижний Новгород""}","(43.784000396729,56.230098724365)",Europe/Moscow
TOF,"{""en"": ""Bogashevo Airport"", ""ru"": ""Богашёво""}","{""en"": ""Tomsk"", ""ru"": ""Томск""}","(85.208297729492,56.380298614502)",Asia/Krasnoyarsk
UIK,"{""en"": ""Ust-Ilimsk Airport"", ""ru"": ""Усть-Илимск""}","{""en"": ""Ust Ilimsk"", ""ru"": ""Усть-Илимск""}","(102.565002441406,58.136100769043)",Asia/Irkutsk
NSK,"{""en"": ""Norilsk-Alykel Airport"", ""ru"": ""Норильск""}","{""en"": ""Norilsk"", ""ru"": ""Норильск""}","(87.3321990966797,69.3110961914062)",Asia/Krasnoyarsk
ARH,"{""en"": ""Talagi Airport"", ""ru"": ""Талаги""}","{""en"": ""Arkhangelsk"", ""ru"": ""Архангельск""}","(40.7167015075684,64.6003036499023)",Europe/Moscow
RTW,"{""en"": ""Saratov Central Airport"", ""ru"": ""Саратов-Центральный""}","{""en"": ""Saratov"", ""ru"": ""Саратов""}","(46.0466995239258,51.564998626709)",Europe/Volgograd
NUX,"{""en"": ""Novy Urengoy Airport"", ""ru"": ""Новый Уренгой""}","{""en"": ""Novy Urengoy"", ""ru"": ""Новый Уренгой""}","(76.5203018188477,66.0693969726562)",Asia/Yekaterinburg
NOJ,"{""en"": ""Noyabrsk Airport"", ""ru"": ""Ноябрьск""}","{""en"": ""Noyabrsk"", ""ru"": ""Ноябрьск""}","(75.2699966430664,63.1833000183105)",Asia/Yekaterinburg
UCT,"{""en"": ""Ukhta Airport"", ""ru"": ""Ухта""}","{""en"": ""Ukhta"", ""ru"": ""Ухта""}","(53.8046989440918,63.5668983459473)",Europe/Moscow
USK,"{""en"": ""Usinsk Airport"", ""ru"": ""Усинск""}","{""en"": ""Usinsk"", ""ru"": ""Усинск""}","(57.3671989440918,66.0046997070312)",Europe/Moscow
NNM,"{""en"": ""Naryan Mar Airport"", ""ru"": ""Нарьян-Мар""}","{""en"": ""Naryan-Mar"", ""ru"": ""Нарьян-Мар""}","(53.121898651123,67.6399993896484)",Europe/Moscow
PKV,"{""en"": ""Pskov Airport"", ""ru"": ""Псков""}","{""en"": ""Pskov"", ""ru"": ""Псков""}","(28.3955993652344,57.7839012145996)",Europe/Moscow
KGP,"{""en"": ""Kogalym International Airport"", ""ru"": ""Когалым""}","{""en"": ""Kogalym"", ""ru"": ""Когалым""}","(74.5337982177734,62.1903991699219)",Asia/Yekaterinburg
KJA,"{""en"": ""Yemelyanovo Airport"", ""ru"": ""Емельяново""}","{""en"": ""Krasnoyarsk"", ""ru"": ""Красноярск""}","(92.493301391602,56.172901153564)",Asia/Krasnoyarsk
URJ,"{""en"": ""Uray Airport"", ""ru"": ""Петрозаводск""}","{""en"": ""Uraj"", ""ru"": ""Урай""}","(64.8266983032227,60.1032981872559)",Asia/Yekaterinburg
IWA,"{""en"": ""Ivanovo South Airport"", ""ru"": ""Иваново-Южный""}","{""en"": ""Ivanovo"", ""ru"": ""Иваново""}","(40.9407997131348,56.9393997192383)",Europe/Moscow
PYJ,"{""en"": ""Polyarny Airport"", ""ru"": ""Полярный""}","{""en"": ""Yakutia"", ""ru"": ""Удачный""}","(112.029998779,66.4003982544)",Asia/Yakutsk
KXK,"{""en"": ""Komsomolsk-on-Amur Airport"", ""ru"": ""Хурба""}","{""en"": ""Komsomolsk-on-Amur"", ""ru"": ""Комсомольск-на-Амуре""}","(136.934005737305,50.4090003967285)",Asia/Vladivostok
DYR,"{""en"": ""Ugolny Airport"", ""ru"": ""Анадырь""}","{""en"": ""Anadyr"", ""ru"": ""Анадырь""}","(177.740997314453,64.7349014282227)",Asia/Anadyr
PES,"{""en"": ""Petrozavodsk Airport"", ""ru"": ""Бесовец""}","{""en"": ""Petrozavodsk"", ""ru"": ""Петрозаводск""}","(34.1547012329102,61.8852005004883)",Europe/Moscow
